dateobs jd mag dmag telescope filter magtype
2021-03-27 2459300.82304 14.3326 0.0411 0m4-11 r 1
2021-03-27 2459300.82463 14.4407 0.0275 0m4-11 i 1
2021-03-27 2459300.82611 14.4506 0.0295 0m4-11 i 1
2021-03-28 2459301.83029 14.2057 0.0304 0m4-09 r 1
2021-03-28 2459301.83184 14.1752 0.0267 0m4-09 r 1
2021-03-28 2459301.83349 14.5023 0.0314 0m4-09 i 1
2021-03-28 2459301.83503 14.4879 0.0407 0m4-09 i 1
2021-03-28 2459302.04885 14.0470 0.0136 1m0-03 B 1
2021-03-28 2459302.04986 14.0478 0.0147 1m0-03 B 1
2021-03-28 2459302.05105 14.0110 0.0155 1m0-03 V 1
2021-03-28 2459302.05170 13.9967 0.0148 1m0-03 V 1
2021-03-28 2459302.05252 13.9132 0.0118 1m0-03 g 1
2021-03-28 2459302.05353 13.8974 0.0121 1m0-03 g 1
2021-03-28 2459302.05470 14.0400 0.0145 1m0-03 r 1
2021-03-28 2459302.05536 14.0442 0.0148 1m0-03 r 1
2021-03-28 2459302.05621 14.4580 0.0187 1m0-03 i 1
2021-03-28 2459302.05687 14.4741 0.0194 1m0-03 i 1
2021-03-30 2459304.42253 14.2406 0.0371 0m4-07 B 1
2021-03-30 2459304.42494 14.2264 0.0357 0m4-07 B 1
2021-03-30 2459304.43552 14.1184 0.0328 0m4-07 r 1
2021-03-30 2459304.43700 14.0991 0.0334 0m4-07 r 1
2021-03-30 2459304.43861 14.5433 0.0447 0m4-07 i 1
2021-03-30 2459304.44009 14.6800 0.0506 0m4-07 i 1
2021-03-31 2459305.37647 13.9270 0.0177 1m0-12 B 1
2021-03-31 2459305.37747 13.9196 0.0158 1m0-12 B 1
2021-03-31 2459305.37864 13.8573 0.0164 1m0-12 V 1
2021-03-31 2459305.37929 13.8523 0.0188 1m0-12 V 1
2021-03-31 2459305.38011 13.7487 0.0182 1m0-12 g 1
2021-03-31 2459305.38112 13.7297 0.0188 1m0-12 g 1
2021-03-31 2459305.38232 13.9023 0.0243 1m0-12 r 1
2021-03-31 2459305.38297 13.9156 0.0237 1m0-12 r 1
2021-03-31 2459305.38378 14.4896 0.0293 1m0-12 i 1
2021-03-31 2459305.38444 14.5041 0.0300 1m0-12 i 1
2021-04-02 2459307.34012 13.9718 0.0145 1m0-12 B 1
2021-04-02 2459307.34113 13.9674 0.0156 1m0-12 B 1
2021-04-02 2459307.34230 13.8707 0.0166 1m0-12 V 1
2021-04-02 2459307.34295 13.8635 0.0186 1m0-12 V 1
2021-04-02 2459307.34377 13.8001 0.0162 1m0-12 g 1
2021-04-02 2459307.34478 13.7952 0.0153 1m0-12 g 1
2021-04-02 2459307.34597 13.8776 0.0205 1m0-12 r 1
2021-04-02 2459307.34662 13.8703 0.0203 1m0-12 r 1
2021-04-02 2459307.34744 14.5154 0.0234 1m0-12 i 1
2021-04-02 2459307.34809 14.5100 0.0237 1m0-12 i 1
2021-04-03 2459308.24238 14.0517 0.0170 1m0-03 B 1
2021-04-03 2459308.24339 14.0403 0.0183 1m0-03 B 1
2021-04-03 2459308.24457 13.8985 0.0205 1m0-03 V 1
2021-04-03 2459308.24523 13.8904 0.0174 1m0-03 V 1
2021-04-03 2459308.24604 13.8785 0.0155 1m0-03 g 1
2021-04-03 2459308.24706 13.8668 0.0176 1m0-03 g 1
2021-04-03 2459308.24825 13.9680 0.0204 1m0-03 r 1
2021-04-03 2459308.24890 13.9607 0.0181 1m0-03 r 1
2021-04-03 2459308.24972 14.6298 0.0239 1m0-03 i 1
2021-04-03 2459308.25038 14.6295 0.0234 1m0-03 i 1
2021-04-06 2459310.85057 14.1018 0.0147 1m0-05 B 1
2021-04-06 2459310.85158 14.1143 0.0144 1m0-05 B 1
2021-04-06 2459310.85276 13.9865 0.0134 1m0-05 V 1
2021-04-06 2459310.85340 13.9828 0.0149 1m0-05 V 1
2021-04-06 2459310.85423 13.9025 0.0117 1m0-05 g 1
2021-04-06 2459310.85523 13.9010 0.0115 1m0-05 g 1
2021-04-06 2459310.85640 14.0048 0.0142 1m0-05 r 1
2021-04-06 2459310.85706 14.0140 0.0137 1m0-05 r 1
2021-04-06 2459310.85787 14.7293 0.0170 1m0-05 i 1
2021-04-06 2459310.85853 14.7331 0.0161 1m0-05 i 1
2021-04-08 2459312.76718 14.2735 0.0143 1m0-04 B 1
2021-04-08 2459312.76817 14.2849 0.0140 1m0-04 B 1
2021-04-08 2459312.76936 14.0696 0.0161 1m0-04 V 1
2021-04-08 2459312.76999 14.0484 0.0150 1m0-04 V 1
2021-04-08 2459312.77082 14.1142 0.0134 1m0-04 g 1
2021-04-08 2459312.77181 14.0896 0.0123 1m0-04 g 1
2021-04-08 2459312.77298 14.1466 0.0158 1m0-04 r 1
2021-04-08 2459312.77363 14.1553 0.0156 1m0-04 r 1
2021-04-08 2459312.77444 14.8155 0.0225 1m0-04 i 1
2021-04-08 2459312.77509 14.8110 0.0217 1m0-04 i 1
2021-04-09 2459313.99616 14.3226 0.0171 1m0-03 B 1
2021-04-09 2459313.99716 14.3212 0.0164 1m0-03 B 1
2021-04-09 2459313.99833 14.0809 0.0182 1m0-03 V 1
2021-04-09 2459313.99897 14.1128 0.0187 1m0-03 V 1
2021-04-09 2459313.99979 14.0900 0.0141 1m0-03 g 1
2021-04-09 2459314.00080 14.1388 0.0180 1m0-03 g 1
2021-04-09 2459314.00198 14.2170 0.0206 1m0-03 r 1
2021-04-09 2459314.00264 14.2062 0.0199 1m0-03 r 1
2021-04-09 2459314.00345 14.8712 0.0255 1m0-03 i 1
2021-04-09 2459314.00411 14.8657 0.0240 1m0-03 i 1
2021-04-12 2459317.30874 14.6005 0.0226 1m0-13 B 1
2021-04-12 2459317.30974 14.5650 0.0267 1m0-13 B 1
2021-04-12 2459317.31091 14.3185 0.0278 1m0-13 V 1
2021-04-12 2459317.31156 14.3259 0.0322 1m0-13 V 1
2021-04-12 2459317.31237 14.2625 0.0265 1m0-13 g 1
2021-04-12 2459317.31338 14.2826 0.0229 1m0-13 g 1
2021-04-12 2459317.31455 14.5520 0.0357 1m0-13 r 1
2021-04-12 2459317.31520 14.5627 0.0382 1m0-13 r 1
2021-04-12 2459317.31601 15.2292 0.0399 1m0-13 i 1
